VARIABLE_NAME,VARIABLE_VALUE
ABORTED_CLIENTS,53130
ABORTED_CONNECTS,13100
ABORTED_CONNECTS_PREAUTH,634
ACCESS_DENIED_ERRORS,544793
ACL_COLUMN_GRANTS,10
ACL_DATABASE_GRANTS,5016
ACL_FUNCTION_GRANTS,0
ACL_PROCEDURE_GRANTS,0
ACL_PACKAGE_SPEC_GRANTS,0
ACL_PACKAGE_BODY_GRANTS,0
ACL_PROXY_USERS,1
ACL_ROLE_GRANTS,0
ACL_ROLES,0
ACL_TABLE_GRANTS,10
ACL_USERS,5021
ARIA_PAGECACHE_BLOCKS_NOT_FLUSHED,0
ARIA_PAGECACHE_BLOCKS_UNUSED,500512
ARIA_PAGECACHE_BLOCKS_USED,43845
ARIA_PAGECACHE_READ_REQUESTS,12878284108
ARIA_PAGECACHE_READS,97628851
ARIA_PAGECACHE_WRITE_REQUESTS,525027987
ARIA_PAGECACHE_WRITES,311919126
ARIA_TRANSACTION_LOG_SYNCS,18760
BINLOG_COMMITS,0
BINLOG_GROUP_COMMITS,0
BINLOG_GROUP_COMMIT_TRIGGER_COUNT,0
BINLOG_GROUP_COMMIT_TRIGGER_LOCK_WAIT,0
BINLOG_GROUP_COMMIT_TRIGGER_TIMEOUT,0
BINLOG_SNAPSHOT_FILE,<blank>
BINLOG_SNAPSHOT_POSITION,0
BINLOG_BYTES_WRITTEN,0
BINLOG_CACHE_DISK_USE,0
BINLOG_CACHE_USE,0
BINLOG_STMT_CACHE_DISK_USE,0
BINLOG_STMT_CACHE_USE,0
BUSY_TIME,1534391.391253
BYTES_RECEIVED,689520291089
BYTES_SENT,15912145475961
COLUMN_COMPRESSIONS,0
COLUMN_DECOMPRESSIONS,0
COM_ADMIN_COMMANDS,166736
COM_ALTER_DB,1
COM_ALTER_DB_UPGRADE,0
COM_ALTER_EVENT,0
COM_ALTER_FUNCTION,0
COM_ALTER_PROCEDURE,0
COM_ALTER_SERVER,0
COM_ALTER_SEQUENCE,0
COM_ALTER_TABLE,150330
COM_ALTER_TABLESPACE,0
COM_ALTER_USER,0
COM_ANALYZE,0
COM_ASSIGN_TO_KEYCACHE,0
COM_BACKUP,0
COM_BACKUP_LOCK,0
COM_BEGIN,83699853
COM_BINLOG,0
COM_CALL_PROCEDURE,845715
COM_CHANGE_DB,9735826
COM_CHANGE_MASTER,0
COM_CHECK,102
COM_CHECKSUM,0
COM_COMMIT,83685539
COM_COMPOUND_SQL,0
COM_CREATE_DB,53
COM_CREATE_EVENT,0
COM_CREATE_FUNCTION,0
COM_CREATE_INDEX,1495
COM_CREATE_PACKAGE,0
COM_CREATE_PACKAGE_BODY,0
COM_CREATE_PROCEDURE,0
COM_CREATE_ROLE,0
COM_CREATE_SEQUENCE,0
COM_CREATE_SERVER,0
COM_CREATE_TABLE,1628191
COM_CREATE_TEMPORARY_TABLE,110044
COM_CREATE_TRIGGER,1968
COM_CREATE_UDF,0
COM_CREATE_USER,0
COM_CREATE_VIEW,6
COM_DEALLOC_SQL,2052
COM_DELETE,10052086
COM_DELETE_MULTI,457058
COM_DO,0
COM_DROP_DB,32
COM_DROP_EVENT,0
COM_DROP_FUNCTION,0
COM_DROP_INDEX,0
COM_DROP_PROCEDURE,0
COM_DROP_PACKAGE,0
COM_DROP_PACKAGE_BODY,0
COM_DROP_ROLE,0
COM_DROP_SERVER,0
COM_DROP_SEQUENCE,0
COM_DROP_TABLE,8343
COM_DROP_TEMPORARY_TABLE,1899
COM_DROP_TRIGGER,1872
COM_DROP_USER,40
COM_DROP_VIEW,12
COM_EMPTY_QUERY,0
COM_ENABLE_GOVERNOR,0
COM_ENABLE_GOVERNOR_RECONN,0
COM_ENABLE_GOVERNOR_LVE,9231
COM_ENABLE_GOVERNOR_RECONN_LVE,0
COM_EXECUTE_IMMEDIATE,0
COM_EXECUTE_SQL,2094
COM_FLUSH,758
COM_GET_DIAGNOSTICS,0
COM_GRANT,119
COM_GRANT_ROLE,0
COM_HA_CLOSE,0
COM_HA_OPEN,0
COM_HA_READ,0
COM_HELP,0
COM_INSERT,35592205
COM_INSERT_SELECT,131925
COM_INSTALL_PLUGIN,0
COM_KILL,17
COM_LOAD,0
COM_LOCK_TABLES,47152
COM_MULTI,0
COM_OPTIMIZE,4904
COM_PRELOAD_KEYS,0
COM_PREPARE_SQL,2052
COM_PURGE,0
COM_PURGE_BEFORE_DATE,0
COM_RELEASE_SAVEPOINT,14199
COM_RENAME_TABLE,344
COM_RENAME_USER,114
COM_REPAIR,34
