VARIABLE_NAME,VARIABLE_VALUE
INNODB_LOG_CHECKSUMS,ON
PERFORMANCE_SCHEMA,OFF
SQL_MODE,"NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION"
SYSTEM_VERSIONING_ALTER_HISTORY,ERROR
UNIQUE_CHECKS,ON
PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_SIZE,-1
MAX_RELAY_LOG_SIZE,1073741824
PERFORMANCE_SCHEMA_MAX_COND_CLASSES,90
HAVE_RTREE_KEYS,YES
PERFORMANCE_SCHEMA_MAX_COND_INSTANCES,-1
INNODB_FLUSH_LOG_AT_TIMEOUT,1
PERFORMANCE_SCHEMA_MAX_RWLOCK_INSTANCES,-1
INNODB_ENCRYPT_TEMPORARY_TABLES,OFF
PERFORMANCE_SCHEMA_MAX_PREPARED_STATEMENTS_INSTANCES,-1
PERFORMANCE_SCHEMA_MAX_THREAD_CLASSES,50
RPL_SEMI_SYNC_SLAVE_TRACE_LEVEL,32
SSL_CAPATH,<blank>
PERFORMANCE_SCHEMA_MAX_MUTEX_INSTANCES,-1
CORE_FILE,OFF
EVENT_SCHEDULER,OFF
INNODB_STATS_TRANSIENT_SAMPLE_PAGES,8
GTID_IGNORE_DUPLICATES,OFF
SLOW_LAUNCH_TIME,2
PERFORMANCE_SCHEMA_MAX_RWLOCK_CLASSES,50
OPTIMIZER_SELECTIVITY_SAMPLING_LIMIT,100
RPL_SEMI_SYNC_SLAVE_KILL_CONN_TIMEOUT,5
INNODB_ADAPTIVE_HASH_INDEX_PARTS,8
PERFORMANCE_SCHEMA_ACCOUNTS_SIZE,-1
THREAD_POOL_OVERSUBSCRIBE,3
PERFORMANCE_SCHEMA_SETUP_OBJECTS_SIZE,-1
ARIA_RECOVER_OPTIONS,"BACKUP,QUICK"
MAX_SP_RECURSION_DEPTH,0
INNODB_FT_NUM_WORD_OPTIMIZE,2000
PERFORMANCE_SCHEMA_MAX_INDEX_STAT,-1
WSREP_DRUPAL_282555_WORKAROUND,OFF
PERFORMANCE_SCHEMA_MAX_MUTEX_CLASSES,210
TMP_MEMORY_TABLE_SIZE,134217728
MAX_LENGTH_FOR_SORT_DATA,1024
REPORT_HOST,<blank>
PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_SIZE,-1
INNODB_SORT_BUFFER_SIZE,1048576
PERFORMANCE_SCHEMA_MAX_STAGE_CLASSES,160
PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_SIZE,-1
SLAVE_TRANSACTION_RETRY_ERRORS,"1158,1159,1160,1161,1205,1213,1429,2013,12701"
LARGE_FILES_SUPPORT,ON
PERFORMANCE_SCHEMA_SETUP_ACTORS_SIZE,-1
ARIA_PAGECACHE_AGE_THRESHOLD,300
PERFORMANCE_SCHEMA_SESSION_CONNECT_ATTRS_SIZE,-1
WSREP_AUTO_INCREMENT_CONTROL,ON
