ROWS_READ,INDEX_NAME,TABLE_NAME,TABLE_SCHEMA
765,PRIMARY,research,u206194013_ICOER02MAR20
4225,PRIMARY,publications,u206194013_ICOER02MAR20
700,PRIMARY,otheractivities,u206194013_ICOER02MAR20
30,PRIMARY,recruiters,u206194013_ICOER02MAR20
11823,PRIMARY,admission_enquiry1,u206194013_ICOER02MAR20
4277,PRIMARY,view_count,u206194013_ICOER02MAR20
22,PRIMARY,alumni,u206194013_ICOER02MAR20
13,PRIMARY,student_verification,u206194013_ICOER02MAR20
66,PRIMARY,lab_details,u206194013_ICOER02MAR20
576,PRIMARY,areaofinterest,u206194013_ICOER02MAR20
8,PRIMARY,drives,u206194013_ICOER02MAR20
13,PRIMARY,news_ticker1,u206194013_ICOER02MAR20
6878,PRIMARY,enquiry_entries,u206194013_ICOER02MAR20
3025,PRIMARY,projects_guided,u206194013_ICOER02MAR20
7,PRIMARY,departmental_head_emails,u206194013_ICOER02MAR20
7,PRIMARY,department_cover_image,u206194013_ICOER02MAR20
125,PRIMARY,department_wise_faculty_info1,u206194013_ICOER02MAR20
7525,PRIMARY,faculty_profile,u206194013_ICOER02MAR20
825,PRIMARY,invitedtalks,u206194013_ICOER02MAR20
224,PRIMARY,admission_enquiry,u206194013_ICOER02MAR20
28,PRIMARY,colloborations,u206194013_ICOER02MAR20
34436,PRIMARY,events,u206194013_ICOER02MAR20
888,PRIMARY,photos,u206194013_ICOER02MAR20
35,PRIMARY,news_ticker,u206194013_ICOER02MAR20
10,PRIMARY,testimonials_details,u206194013_ICOER02MAR20
1704,PRIMARY,department_wise_faculty_info,u206194013_ICOER02MAR20
84,PRIMARY,search,u206194013_ICOER02MAR20
382,PRIMARY,career_enquiry,u206194013_ICOER02MAR20
22,PRIMARY,cell_record,u206194013_ICOER02MAR20

