PACKED,COMMENT,NULLABLE,SUB_PART,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,TABLE_NAME,COLUMN_NAME,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,INDEX_COMMENT,TABLE_CATALOG,CARDINALITY
1,<blank>,<blank>,alumni,PRIMARY,BTREE,0,22,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,bus_time_table,PRIMARY,BTREE,0,0,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,career_enquiry,PRIMARY,BTREE,0,40,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,cell_record,PRIMARY,BTREE,0,22,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,colloborations,PRIMARY,BTREE,0,28,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,events,PRIMARY,BTREE,0,10,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,events_registration,PRIMARY,BTREE,0,0,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,invitedtalks,PRIMARY,BTREE,0,174,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,search,PRIMARY,BTREE,0,84,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,photos,PRIMARY,BTREE,0,111,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,research,PRIMARY,BTREE,0,157,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,jobs,PRIMARY,BTREE,0,0,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,faculty_profile,PRIMARY,BTREE,0,1140,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,projects_guided,PRIMARY,BTREE,0,642,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,lab_details,PRIMARY,BTREE,0,66,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,publications,PRIMARY,BTREE,0,887,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,recruiters,PRIMARY,BTREE,0,30,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
1,<blank>,<blank>,slider,PRIMARY,BTREE,0,0,id,<blank>,u206194013_ICOER02MAR20,def,A,<blank>,u206194013_ICOER02MAR20,<blank>
