TABLE_NAME,TABLE_SCHEMA,CONSTRAINT_NAME,CONSTRAINT_TYPE,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG
alumni,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
bus_time_table,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
career_enquiry,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
cell_record,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
colloborations,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
events,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
events_registration,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
invitedtalks,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
search,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
photos,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
research,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
jobs,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
faculty_profile,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
projects_guided,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
lab_details,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
publications,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
recruiters,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
slider,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
testimonials_details,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
admission_enquiry,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
department_cover_image,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
areaofinterest,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
admission_enquiry1,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
view_count,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
drives,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
drive_registration,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
student_verification,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
enquiry_entries,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
event_photos,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
extra_curricular_activities,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
otheractivities,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
department_wise_faculty_info,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
department_wise_faculty_info1,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
news_ticker1,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
news_ticker,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def
departmental_head_emails,u206194013_ICOER02MAR20,PRIMARY,PRIMARY KEY,u206194013_ICOER02MAR20,def

