id,faculty_id,title,venue
1,1,"Resource Person-BOS Civil Engineering SPPU and Singhad Technical Education Society’s SITS Pune, Department of civil Engineering Organized two days workshop on “Effective teaching methodology in Fluid Mechanics-I and practical detailing”",Singhad Technical Education Society’s SITS Pune
2,1,"Eminent Speaker:ISTE and AICTE Approved One Week Short Term Training Program (STTP) On “Application of Remote Sensing and GIS in Disaster Management: Response , Recovery and Reconstruction”  ","Mahatma Education Society's PILLAI HOC COLLEGE OF ENGINEERING & TECHNOLOGY, RASAYANI, TAL: KHALAPUR DIST. RAIGAD"
3,1,"Resource Person-BOS Civil Engineering SPPU and Singhad Technical Education Society’s SIT&S Pune, Department of civil Engineering Organized two days workshop on “Effective teaching methodology in Fluid Mechanics-II and practical detailing & quot of Hydrology and water resources engineering”",Singhad Technical Education Society’s SITS Pune
4,2,NIL,<blank>
5,3,"Career opportunity in civil engineering, IECT, Surveying","DHOLE PATIL BARSHI,BHARATI COLLEGE"
6,4,IBWT For India Agriculture Development,"BIGCE, Solapur"
7,5,NIL,NIL
8,6,Construction Management,"Dr. DYPSOET, Lohegaon"
9,7,NIL,NIL
10,8,"Contracts, TQME","MOZE COLLEGE OF ENGINEERING,BHARATI COLLEGE"
11,9,Fluid Mechanics-I,"BIT BARSHI DIST SOLAPUR,BVCOE, LAVALE PUNE."
12,10,Geotechnical Engineering,"BIT BARSHI DIST SOLAPUR,BSP WAGHOLI PUNE."
13,11,Structural Dynamics,PRE CollegeLONI 
14,12,Architectural Planning and design of Building,BHARATI VIDHYPITHA LAVALE
15,13,"Concrete Technology, Structural design -II","DHOLE PATIL ,POLYTECHNIC JSPM HADAPSAR "
16,14,NIL,NIL
17,15,Effect of Land Use Land Cover Change,"KBC North Maharashtra University, Bhusawal"
18,16,NIL,NIL
19,17,NIL,NIL
20,18,Structural Dynamics,DY Patil College Akrudi
21,19,NIL,NIL
22,20,NIL,NIL
23,21,NIL,NIL
24,22,Strength of Material  ,JJTU Rajasthan
25,23,NIL,NIL
26,24,Construction Techniques & Environmental Sustainability,HHJB POLYTECHNIC COLLEGE NASHIK
27,25,NIL,NIL
28,26,NIL,NIL
29,27,NIL,NIL
30,28,NIL,NIL
31,29,NIL,NIL
32,30,NIL,NIL
33,31,NIL,NIL
34,32,NIL,NIL
35,33,NIL,NIL
36,34,Career opportunity in civil engineering,Dr BATU Lonere
37,35,NIL,NIL
38,36,NIL,NIL
39,37,NIL,NIL
42,39,NIL,<blank>
43,40,subject expert for PE,"AISSPMS, Pune"
44,40,Resonant Converters,"ICOER, E&Tc Dept"
45,41,Data Structures,"SVSS, Nagpur"
46,41,Operating Systems,"GHRWCOE, Nagpur"
47,42,Information Storage,"GHRCEM, Pune"
48,42,"TOC, DAA","GHRCEM, Nagar"
49,42,"TOC, DAA","GHRIET, Pune"
50,43,NIL,<blank>
51,44,DIGITAL ELECTRONICS AND LOGIC DESIGN,"GHRCEM,WAGHOLI"
52,44,DIGITAL ELECTRONICS AND LOGIC DESIGN,"PVPIT,BAVDHAN"
53,45,NIL,NIL
54,46,DBMS,BIT Barshi Dist Solapur
55,47,NIL,NIL
