id,name,description,active_status
1,"<a href=""../admission.php"" target=""_blank"" style=""color:white;"">Admission Open for 2021-22 Batch for All Branches</a>",<blank>,1
2,Fight Against COVID – 19 with MHRD INITATIVE,"Dear Indians.<br/>\n\nAs we are undergoing pandemic situation due to Corona virus, We at JSPM's Imperial  College of Engineering and Research Pune, ICOER consider it as our social responsibility, \nwe are suggesting technology solution....<br/>\n\nSocial Distancing is the only solution to overcome this problem....\nCan we use our mobile phones, human body signals to alarm if minimum distance between 2 persons is not maintained  and solution to avoid crowd ....<br/>\nLet's put technology to the mission..<br/>\nExcited to see how?<br/>\n\nClick  link below...<br/>\nMHRD INITATIVE...<br/>\n Hit the like icon and inspire us to serve our beloved nation.<br/>\n\nThank you,<br/>\nTeam ICOER, Pune.<br/>\n\nJai Hind <br/>\n\nClick here --<br/><a target=""blank"" style=""color:red;"" href=""https://youtu.be/Cbn-cimDm5Y"">https://youtube/Cbn-cimDm5Y</a><br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/COVID19.jpg"" alt=""""></center>",1
3,"Congratulation to Computer Engineering Department students Team ""KRYPTONITE"" from our college is selected for grand finale in India Hackathon- 2020 Hardware ","Smart India Hackathon- 2020 Hardware results is announced...<br/>\n\nTeam ""KRYPTONITE"" from our college is selected for grand finale.<br/>\n\nCongratulations all team members<br/>\nLead- Komal Tikka<br/>\n1) Gunjan Deshpande<br/>\n2) Sandhya Mane<br/>\n3) Shubhash Toke<br/>\n4) Abhijeet Dutonde<br/>\n5) Mamta Fasge<br/>\n\nBest wishes for grand finale<br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/SIH.jpg"" alt=""""></center>",1
4,"One Week Training Workshop on “Practice Based Computational Fluid Dynamics” on 23rd to 27th December, 2019 by Department of Mechanical Engineering","<b>Dear Sir/Madam,?</b><br/><br/> Heartiest greetings from Imperial College of Engineering and Research (ICOER), Pune, Republic of India. I am pleased to inform you that, the Department of Mechanical Engineering, ICOER, is organizing one week training workshop on <b>“Practice Based Computational Fluid Dynamics” on 23rd to 27th December 2019. This is elementary training of OpenFoam and Salome.</b> OpenFoam is widely used open source CFD software having capabilities near to commercial software. Training will include pre-processing with OpenFoam and Salome. Training session on Salome will be conducted to build complicated geometry and meshing. It will contain session on incompressible flow, heat transfer, multiphase flow, compressible flow and combustion using OpenFoam. Pune city is second largest city of Indian state of Maharashtra and is cultural capital of Maharashtra with pleasant weather.??<br/><br/> <b>For Registration Contact Prof. P. K. Kumkale (Mob. +919595404094,Email: -?kumkaleprashant@gmail.com). </b><br/><br/> The accommodation will be made available to few out-station participants in the ICOER campus and nearby hotel on paid basis. For accommodation please contact Prof. M. S. Bandgar ( Mob + 917875750751)<br/> Thanking you in anticipation.?<br/><br/><br/> Regards,?<br/> Dr. Sachin L. Borse?<br/> Professor?<br/>    Imperial College of Engineering and Research,?<br/> Nagar Road, Wagholi, Pune, India, PIN 412207<br/> * Mobile No.: +918149538399?<br/> * Email id:-?sachinlb@yahoo.co.uk<br/><br/><object data=""pdf/Workshop_Brochure_CFD.pdf"" type=""application/pdf"" width=""100%"" height=""800px""> </object>",1
5,Final Year Mechanical Student 2019-20 Batch Mr. Sonukumar Choube is Selected in Indian Space Research Organization (ISRO) for Apprentice.,Final Year Mechanical Student 2019-20 Batch Mr. Sonukumar Choube is Selected in Indian Space Research Organization (ISRO) for Apprentice.,1
6,"“Heartiest congratulations to the faculty members from Mechanical and Civil Department for getting sanctioned the Research proposal from Savitribai Phule Pune University under the scheme ASPIRE, Research Mentorship program (RMP)”","“Heartiest congratulations to the faculty members from Mechanical and Civil Department for getting sanctioned the Research proposal from Savitribai Phule Pune University under the scheme ASPIRE, Research Mentorship program (RMP)”<br/><br/><div class=""table-responsive"">\n                                        <table class=""table table-hover table-bordered"">\n                                            <thead style=""background-color: #f3f3f3;"">\n                                                <tr>\n                                                <th width=""5%""><b>Sr.No.</b></th>\n                                                    <th width=""15%""><b>Faculty Name</b></th>\n\t\t\t\t\t\t                            <th width=""15%""><b>Title</b></th>\n                                                    <th width=""15%""><b>Amount</b></th>\n                                                </tr>\n                                                </thead>\n                                                 <tbody>\n                                                 <tr>\t<td>\t1\t</td>\t<td>\tProf. V.U. Ukirde                                                            &\n                                                Prof. G.A. Kulkarni    \t</td>\t<td>\tDevelopmental Characterization of Polymer Composite for Enhance Tribological Properties\t</td>\t<td>\t1.9 Lacs\t</td>\t</tr>\n                                                <tr>\t<td>\t2\t</td>\t<td>\tProf. P.K. Pasnur \n                                                        &\n                                                Prof. S.R. Suryawanshi</td>\t<td>\tInvestigation of strength of column by using various types of confinement\t</td>\t<td>\t2.82 lacs\t</td>\t</tr>\n\n                                                 </tbody>\n                                            \n                                        </table>\n                                    </div>        ",1
7,"JSPM's Imperial College of Engineering and Research has Grabbed ""Gold"" ranking in the AICTE-III survey","JSPM's Imperial College of Engineering and Research has Grabbed ""Gold"" ranking in the AICTE-III survey. The survey was conducted on several criteria such as patents filed by the faculty and students, quality of education, industry relation and technology exchange, guidance from students from industrial sector, educational tours & industry visits, campus placement, research  and industry sponsored sponsored projects etc.<br/><br/><object data=""pdf/AICTE_CII.pdf"" type=""application/pdf"" width=""100%"" height=""1000px"" allowfullscreen>         </object>",1
9,"Indian Institute of Remote Sensing [IIRS], Dehradun has recognized that Dept. of Civil Engineering as ""Network Institute of IIRS outreach Network""","Indian Institute of Remote Sensing [IIRS], Dehradun has recognized that Dept. of Civil Engineering as ""Network Institute of IIRS outreach Network""",1
10,"Texas Instruments has set up a ""Texas Instruments Innovation Center"" at Department of Electronics & Telecommunication."," <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/innovation_lab.jpg"" alt=""""></center><br>In order to bridge the gap between the academia and the industry and to ensure ready deployment in regular work streams, structured industry specific training is necessary. Working with TI increases the knowledge base of future engineers so they can interact with industry-standard technology before they graduate. TI helps to develop the skills needed to tackle tomorrow's most challenging problems. By providing students access to the largest and most advanced analogy and embedded processing portfolio, the TI University Program provides the tools necessary to inspire innovation and take engineering concepts from the book to the breadboard.",1
11,Advancement in Mechanical Engineering and Industrial Management 2019,"Mechanical department organized National Conference on ""Advancement in Mechanical Engineering and Industrial Management 2019"" in Association with SPPU Pune"" from 15th to 16th February 2019 to bridge the gap between researchers working at different institutions and in different part of countries.\n                                                <br/>Objective of the conference was to highlight the ever increasing and critical need to encourage innovative engineering solutions with potential for global reach awareness of research in Mechanical Engineering and Industrial Management. \n                                                <br/>The conference was sparked by the scholars, academicians, students from different places of India. There were more than 150 research papers received and 110 plus papers were selected for conference. The conference covered wide range of topics including the internal combustion engine, machining processes, heat and mass transfer, fuel, biomechanical analysis, aerodynamic analysis, thermal comfort, computational techniques, design and simulation, automotive transmission, optimization techniques, hybrid electric cars, engine vibration, heat exchangers, finite element analysis, computational fluid dynamics, vehicle dynamics, renewable energy, combustion, design, product development, advanced experimentation techniques to name but a few.\n                                                <br/>Dr. Sujit Pardeshi , Professor, Mechanical Engineering Department, College of Engineering, Pune and BOS Chairman, Mechanical Engineering,\n                                                <br/>SPPU, Pune was the chief guest.  Mr. Ravindra Vaidya, Director, Shree Ganesh Press-N-Coat Industries Private Limited, Aurangabad was the key note speaker. Mr. Kabir Gaikwad, Corporate Human Resources Manager,\n                                                <br/>Atlas Copco India Limited, Pune also graced the conference.\n<br/><br/>  <div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/mech_National Conference 1.jpg"" alt=""""></center></div>\n                                                 <div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/mech_National Conference 2.jpg"" alt=""""></center></div>\n                                                  <div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/mech_National Conference 3.jpg"" alt=""""></center></div>\n                                                  <div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/mech_National Conference 4.jpg"" alt=""""></center></div>\n                                                 <div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/mech_National Conference 5.jpg"" alt=""""></center></div>\n                                                  <div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/mech_National Conference 6.jpg"" alt=""""></center></div>\n                                                ",1
12,SWAYAM-NPTEL Local Chapter AY 2018-19.,"<object data=""pdf/NPTL_data.pdf"" type=""application/pdf"" width=""100%"" height=""1000px""> </object>",1
13,"Congratulations!!! To FE Students shortlisted for the National Convention & Exhibition of Chhatra Vishwakarma Awards 2019.Which is tentatively scheduled on 17-18th January 2019 at AICTE Headquarters, New Delhi.","Congratulations!!! To FE Students shortlisted for the National Convention & Exhibition of Chhatra Vishwakarma Awards 2019.Which is tentatively scheduled on 17-18th January 2019 at AICTE Headquarters, New Delhi.<br/><div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards1.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards2.jpg"" alt=""""></center></div>\n<div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards3.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards4.jpg"" alt=""""></center></div>\n<div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards5.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards6.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards7.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards8.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards9.jpg"" alt=""""></center></div>\n<div class=""col-md-4""> <br/><center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards10.jpg"" alt=""""></center></div>\n<div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards11.jpg"" alt=""""></center></div>\n<div class=""col-md-4""><br/> <center> <img class=""img-responsive"" style=""border:3px solid black;"" src=""images/events/Chhatra_Vishwakarma_Awards12.jpg"" alt=""""></center></div>",1
14,"<a href=""https://thamesspectra.net/icoer"" target=""_blank"" style=""color:white;"">MHCET 2021-2022 MOCK TEST</a>",<blank>,1

