id,faculty_id,type,title,year,nameofpublisher
1,1,Published,Runoff Estimation for Darewadi Watershed using RS and GIS,2013,International Journal in Asia in the field Engineering & Technology
2,1,Published,Engineered Cementitious Composites for Structural Applications,2013,"International Journal of Innovative Research in Science, Engineering and Technology "
3,1,Published,Computation of Relative Index Ranking of Various Construction Productivity Factors,2014,"International Journal of Civil, Structural, Environmental and Infrastructure Engineering Research and Development"
4,1,Published,"Analysis of Critical Factors Affecting the Construction Projects in Pune Region, India",2014,International Journal Civil Engineering and Technology (IJCIET)
5,1,Published,Need for IGBC Rating System for New Residential Buildings,2014,International Journal of Application or Innovation in Engineering and Management I115[ISRAJF]
6,1,Published,Cost Control and Tracking of a Building by Earned Value Method,2015,International Journal of Technical Research and Applications (IJTRA) Impact Factor 4.350
7,1,Published,Identification of Factor which Causes Cost Overrun and Delays in Infrastructure Projects,2015,"International Journal of Engineering Technology, Management and Applied Sciences(IJETMAS)"
8,1,Published,"Study of Various Hydro-geological Parameters and its Influence on Groundwater Level Fluctuation in a Hard rock Terrain-A Case Study of Wagholi, Pune, India",2015,International Journal of Innovative and Emerging Research in Engineering 
9,1,Published,Comparative study of cost and duration related to night time and day time construction of flyover project,2015,International Journal of Civil Engineering 
10,1,Published,"Structural Audit: A Case Study of Nasik Residential Building, Maharashtra, India",2015,PARIPEX - INDIAN JOURNAL OF RESEARCH
11,1,Published,LIGHT WEIGHT AGGREGATE CONCRETE BY USING COCONUT SHELL,2015,International Journal of Technical Research and Applications Scientific Journal Impact Factor 4.395
12,1,Published,Qualitative risk assessment and mitigation measures for real estate projects in maharashtra,2015,International Journal of Technical Research and Applications e- www.ijtra.com Scientific Journal Impact Factor 4.395
13,1,Published,A study and analysis of occupational health,2015,International Journal of Civil Engineering (IJCE); Copernicus Value (ICV) - 2015: 3.0; NAAS Rating: 2.06
14,1,Published,Study and analysis of low cost housing based on construction techniques,2016,IJRET: International Journal of Research in Engineering and Technology (IJRET)
15,1,Published,Hot ice crystal sheet for fire control in high rise buildings,2016,"International Journal of Advanced Engineering Research and Science (IJAERS), Impact Factor: 4.072(SJIF)"
16,1,Published,Concrete Productivity And Performance Comparison Of Pumped Concrete For High Rise Structure,2016,International Journal of Recent and Innovation Trends in Computing and Communication (IJRITCC) Impact Factor: 5.837
17,1,Published,Acceptance criteria for precast concrete,2016,International Journal of Application or Innovation in Engineering & Management (IJAIEM)
18,1,Published,Effect of height on pumped concrete placing at highrise structures,2016,International Research Journal of Engineering and Technology (IRJET) e- Pp 80-82 Impact Factor: 4.45(SJIF)
19,1,Published,Controlled Execution of Demolition work for Residential Building,2016,"International Journal of Engineering Technology, Management and Applied Sciences (IJETMAS)"
20,1,Published,Effects of schedule acceleration on construction performance,2016,"International Journal of Research in Engineering and Applied Sciences (IJREAS), PP 21-29, IMPACT FACTOR – 6.573"
21,2,<blank>,NIL,<blank>,<blank>
22,3,Published,Case Study: Construction Management Approach towards the Repair & Maintenance of Industrial Building,2018,Industrial Practices In Civil Engineering-2041
23,3,Published,A Case-Study: Effective Implementation of Quality Control System in Building Construction,2018,Industrial Practices In Civil Engineering-2042
24,3,Published,Development of Fabrication Material for Low Cost Housing Using Sisal Fiber Composite: Review Paper,2018,Industrial Practices In Civil Engineering-2043
25,3,Published,Hydraulic Conductivity of Soil Using Guelph Permeameter,2018,Industrial Practices In Civil Engineering-2044
26,3,Published,Variability in Deflection of Reinforced Concrete Beams,2018,Industrial Practices In Civil Engineering-2045
27,3,Published,Analysis of causes of Wastages of Construction Materials on Building Construction Site,2018,Industrial Practices In Civil Engineering-2046
28,3,Published,A Study of Material Management System in Construction Industry,2018,Industrial Practices In Civil Engineering-2047
29,3,Published,Reduction of Wastage Construction Material during Execution Phase,2018,Industrial Practices In Civil Engineering-2048
30,4,Published,Geology Aspects in Civil Structure Construction,2018,International Journal of Engineering and Technology
31,4,Published,India Needs Inter Basin Water Transfer,2018,International Research Journal of Engineering and Technology
32,4,Published,A Need of Conjunctive use of Surface and Ground Water,2018,Techno-Societal COEP
33,5,Published,Using Waste Construction Material in paving blocks with Coir Fibre,2018,"International Journal of Innovative Research in Science, Engineering and Technology"
34,5,Published,Addition of Waste Construction Material in Paver Block with Coir Fibre,2018,International Journal for Scientific Research & Development
35,6,Published,Review on Study of Causes And Impact Of Rework on Construction Project,2018,International Journal of Engineering Sciences & Research Technology
