id,link,title,keyword,description
1,computer_department.php?value=1,Computer Department,Computer Department, The students are focused with the use of conceptual understanding of core domain areas in Computing as well as enhanced programming skills disseminating their analytical abilities. Our aim is to provide our students the life long learning and leadership skills that enable them to grow in their professions and advance to positions of 
2,elctrical_engineering.php?value=1,Elctrical Engineering,Electrical Engineering Department,The Department of Electrical Engineering was established in the year 2009 with a sanctioned intake of 60 and is growing rapidly. In 2013 it was sanctioned another 60 seats for admissions through Direct Second Year entry for diploma students. The department presently conducts a four year Bachelor of Engineering degree
3,civil_engineering.php?value=1,Civil Engineerng,Civil Engineering Department,"Civil Engineering is one of the core branches of engineering. As the name implies- “CIVIL”, the branch mainly deals with fulfillment of basic necessities of human being. Apart from development of infrastructural facilities, it has also become a sector that encompasses around 50 % funds in national economy. "
4,mechanical_department.php?value=1,Mechanical Department,Mechanical Department,"The Department of Mechanical Engineering was established in the year 2009, now offering under- graduate degree course with 120 intake capacity. The department has gained the reputation of producing eminent engineers as professionals, researchers and entrepreneurs. The department is proud to be collaborated with well-known industries in the sector."
6,electronics_engineering.php?value=1,Electronics & Telecommunication,Electronics Telecommunication Department,"E&TC Graduates find wide opportunities in todays growing communications era.Our mission is to provide world class resurch facilities & global knowlege in synchronization with the latest as well as future trends for nurturing highly professionals engineers witn strong technical skls and impartin an all winning and leading attitude, "
7,general_science.php?value=1,General Science ,General Science Engineering Science Department first year,"The Department of General Science of BSIOTR is established in the year 2009 and is growing with flourishing computing facilities and dedicated faculty. The goal of the department is to nurture the students by polishing their talents so as to cultivate competency, responsibilities, and highly rewarding careers in IT profession and to portrait them as responsible citizens."
8,about_jspm.php,About JSPM,About JSPM,"JSPM group of institutes has one of the best engineering colleges in Pune. Also, the group has MBA colleges, MCA colleges, Pharmacy colleges and PGDM courses one of the best in Pune and vicinity."
9,vision_mission.php,JSPM's Vision Mission ,Vision Mission ,"To satisfy the aspirations of youth force, who wants to lead nation towards prosperity through techno-economic development."
10,quality_policy.php,"JSPM,s Quality Policy ",Quality Policy ,We at JSPM are committed to provide value based quality education maintaining pace with changing technology to produce competent and skilled professionals ready to accept global challenges.
11,founders_message.php,Founder Secretary's Message,Founder Secretary's Message,"Jayawant Shikshan Prasarak Mandal (JSPM) was established in 1998 with the objective of creating centres of excellence for education in the field of Engineering, Medical, Pharmacy, Management, and computers. Our Objective behind starting JSPM was to make higher education available to all"
12,team_leaders.php,Team Leaders,Team Leaders,"JSPM's believes that when a group member participates in solving groups problems, they learn a great deal about the technical complexities. Our management team is aggregate of individuals governing itself within the area of freedom allowed by its position in the JSPM’s hierarchy"
13,campuses.php,JSPM Campuses,JSPM Campuses,"Tathawade Campus, Pune\r\nJSPM's Tathawade Campus is situated at Tathawade on the New Mumbai -Pune Highway in a sprawling and pristine campus providing environment"
14,about_bsiotr.php,About JSCOE,JSCOE institute jscoe about,"Jayawantrao Sawant College of Engineering (JSCOE) is approved by the All India Council of Technical Education (AICTE), DTE, SPPU and NAAC Accredited. It was established by JSPM on the second campus at Hadapsar. It is involved in practicing various teaching learning methodologies of excellence to"
15,principals_message.php,Principal's Message ,Principal's Message ,"\r\nDear Students,\r\n\r\nKnowledge only Liberates and technical education has been the core for the development of society and humanity. Educational Institutions at JSPM are committed for imparting time based and value added quality learning"
16,collaborations.php,Collaborations Industry-Interactions,Collaborations Industry Interactions,\r\nCollaboration- (Industry- Institute):\r\nSr.No. \tName of Industry/Institute
17,scholarship_awards.php,Scholarships And Awards,Scholarships Awards,"Institute adheres to the rules and regulations laid down by the DTE, Government of Maharashtra regarding admission of students in the reservation criteria."
18,infrastructure.php,Institute's Infrastructure,Institute's Infrastructure,<blank>
19,mandatory_disclosure.php,Mandatory Disclosure,Mandatory Disclosure,Mandatory Disclosure  \n16/02/2011  
20,recruiters_list.php,Recruiters List,Recruiters List placement,Campany Name \tLogo \tDetails 
21,office_gen.php,Office Administration,Office Administration,General Information
22,library.php,Library Facility,Library Facility,"Jayawant Library of JSPM's Engineering College was established in 2004. It serves as a resource center for teaching staff, students and research scholars by providing knowledge through both print and digital form."
23,lms.php,Learning Management System- MOODLE,Learning Management System MOODLE lms,"Moodle LMS optimizes instructional delivery and administration, empowering teachers to devote more time to quality student interaction, research and self-improvement. It empowers students to learn better and faster as many academic processes become more efficient."
24,research.php,Research & Development,Research Development r&d cell,Research is the backbone of academics. It simplifies concept building and transforms new ideas into innovations in pursuance of a new era of passion for researches. Each finding gives immense pleasure and multiplies enthusiasm towards achieving target.
